than	IN	than
them	PP	them
as	RB	as
well	RB	well
as	IN	as
their	PP$	their
Readiness	NN	readiness
to	TO	to
Bear	NP	Bear
their	PP$	their
RIS	NN	RIS
involved	VVN	involve
in	IN	in
responding	VVG	respond
to	TO	to
challenges	NNS	challenge
to	TO	to
peace	NN	peace
and	CC	and
security	NN	security
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
it	PP	it
is	VBZ	be
important	JJ	important
that	IN/that	that
African	JJ	African
countries	NNS	country
retain	VVP	retain
the	DT	the
freedom	NN	freedom
to	TO	to
make	VV	make
their	PP$	their
own	JJ	own
decisions	NNS	decision
regarding	VVG	regard
the	DT	the
modalities	NNS	modality
for	IN	for
countering	VVG	counter
threats	NNS	threat
regardless	RB	regardless
of	IN	of
form	NN	form
of	IN	of
external	JJ	external
financial	JJ	financial
assistance	NN	assistance
weet	NN	weet
until	IN	until
the	DT	the
very	RB	very
last	JJ	last
moment	NN	moment
this	DT	this
issue	NN	issue
remained	VVD	remain
a	DT	a
stumbling	JJ	stumbling
block	NN	block
heavily	RB	heavily
over	IN	over
the	DT	the
negotiation	NN	negotiation
process	NN	process
agement	NN	agement
the	DT	the
international	JJ	international
commun	NN	Commun
response	NN	response
to	TO	to
crisis	NN	crisis
situations	NNS	situation
in	IN	in
Africa	NP	Africa
we	PP	we
that	IN/that	that
states	NNS	state
reg	NNS	reg
have	VHP	have
and	CC	and
continue	VV	continue
to	TO	to
prove	VV	prove
and	CC	and
practice	VV	practice
the	DT	the
coherence	NN	coherence
and	CC	and
effectiveness	NN	effectiveness
of	IN	of
the	DT	the
Pan	NP	Pan
African	JJ	African
command	NN	command
and	CC	and
control	NN	control
Sy	NN	Sy
as	RB	as
well	RB	well
as	IN	as
their	PP$	their
commitments	NNS	commitment
to	TO	to
International	NP	International
standards	NNS	standard
in	IN	in
the	DT	the
area	NN	area
of	IN	of
Human	NP	Human
Rights	NPS	Rights
and	CC	and
IHL	NP	IHL
Norms	NNS	norm
in	IN	in
the	DT	the
conduct	NN	conduct
of	IN	of
operations	NNS	operation
it	PP	it
'	POS	'
s	NN	S
fundamentally	RB	fundamentally
important	JJ	important
that	IN/that	that
the	DT	the
resolution	NN	resolution
adopted	VVD	adopt
today	NN	today
will	MD	will
increase	VV	increase
the	DT	the
produc	NN	produc
ability	NN	ability
sustainability	NN	sustainability
and	CC	and
flexibility	NN	flexibility
of	IN	of
resources	NNS	resource
for	IN	for
the	DT	the
maintenance	NN	maintenance
oface	NN	oface
and	CC	and
security	NN	security
on	IN	on
the	DT	the
African	JJ	African
continent	NN	continent
with	IN	with
the	DT	the
EU	NP	EU
playing	VVG	play
a	DT	a
ro	NN	ro
with	IN	with
this	DT	this
decision	NN	decision
the	DT	the
security	NN	security
Council	NP	Council
expresses	VVZ	express
its	PP$	its
confidence	NN	confidence
in	IN	in
the	DT	the
region	NN	region
leadership	NN	leadership
Region	NN	region
'	POS	'
s	JJ	s
leadership	NN	leadership
ability	NN	ability
to	TO	to
address	VV	address
crises	NNS	crisis
in	IN	in
Africa	NP	Africa
and	CC	and
its	PP$	its
willingness	NN	willingness
to	TO	to
step	VV	step
up	RP	up
its	PP$	its
engagement	NN	engagement
with	IN	with
the	DT	the
UN	NP	UN
in	IN	in
the	DT	the
interests	NNS	interest
of	IN	of
International	NP	International
Peace	NP	Peace
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
the	DT	the
security	NN	security
Council	NN	council
and	CC	and
the	DT	the
UN	NP	UN
General	NP	General
Assembly	NP	Assembly
retain	VV	retain
their	PP$	their
prerogatives	NNS	prerogative
under	IN	under
the	DT	the
UN	NP	UN
we	PP	we
congratulate	VVP	congratulate
our	PP$	our
African	JJ	African
colleagues	NNS	colleague
on	IN	on
the	DT	the
adoption	NN	adoption
of	IN	of
this	DT	this
resolution	NN	resolution
we	PP	we
thank	VVP	thank
them	PP	them
for	IN	for
their	PP$	their
professionalism	NN	professionalism
and	CC	and
hard	JJ	hard
work	NN	work
I	PP	I
thank	VVP	thank
you	PP	you
for	IN	for
your	PP$	your
attention	NN	attention
I	PP	I
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
Russian	NP	Russian
Federation	NP	Federation
for	IN	for
her	PP$	her
statement	NN	statement
statement	NN	statement
in	IN	in
my	PP$	my
national	JJ	national
capacity	NN	capacity
as	IN	as
representative	NN	representative
of	IN	of
Ecuador	NP	Ecuador
i	NP	i
'	POS	'
like	VVP	like
to	TO	to
begin	VV	begin
by	IN	by
recognizing	VVG	recognize
the	DT	the
leadership	NN	leadership
ofh	NN	ofh
andaban	NN	andaban
in	IN	in
the	DT	the
resolution	NN	resolution
that	WDT	that
has	VHZ	have
just	RB	just
been	VBN	be
adopted	VVN	adopt
unanimously	RB	unanimously
by	IN	by
this	DT	this
Council	NN	council
we	PP	we
celebrate	VVP	celebrate
the	DT	the
adoption	NN	adoption
of	IN	of
this	DT	this
resolution	NN	resolution
that	WDT	that
recognizes	VVZ	recognize
the	DT	the
role	NN	role
of	IN	of
uh	UH	uh
peace	NN	peace
support	NN	support
operations	NNS	operation
led	VVN	lead
by	IN	by
the	DT	the
Union	NP	Union
the	DT	the
to	TO	to
harmonize	VV	harmonize
maximize	VV	maximize
efforts	NNS	effort
in	IN	in
the	DT	the
between	IN	between
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
the	DT	the
African	NP	African
Union	NP	Union
to	TO	to
support	VV	support
National	NP	National
and	CC	and
Regional	NP	Regional
efforts	NNS	effort
to	TO	to
address	VV	address
the	DT	the
security	NN	security
challenges	NNS	challenge
of	IN	of
the	DT	the
continent	NN	continent
this	DT	this
is	VBZ	be
in	IN	in
line	NN	line
with	IN	with
the	DT	the
new	JJ	new
agenda	NN	agenda
for	IN	for
peace	NN	peace
of	IN	of
the	DT	the
Secretary	NP	Secretary
General	NP	General
that	IN/that	that
Ecuador	NP	Ecuador
supports	VVZ	support
for	IN	for
these	DT	these
reasons	NNS	reason
eador	NN	eador
co	NN	Co
-	NN	-
sponsored	VVD	sponsor
and	CC	and
voted	VVD	vote
in	IN	in
favor	NN	favor
of	IN	of
this	DT	this
resolution	NN	resolution
in	IN	in
order	NN	order
to	TO	to
contribute	VV	contribute
to	TO	to
peace	NN	peace
and	CC	and
security	NN	security
on	IN	on
the	DT	the
council	NN	council
and	CC	and
asking	VVG	ask
that	IN/that	that
this	DT	this
be	VB	be
implemented	VVN	implement
in	IN	in
a	DT	a
responsible	JJ	responsible
manner	NN	manner
uh	UH	uh
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
I	PP	I
now	RB	now
resume	VV	resume
my	PP$	my
functions	NNS	function
as	IN	as
president	NN	president
of	IN	of
the	DT	the
council	NN	council
there	EX	there
are	VBP	be
no	RB	no
more	JJR	more
names	NNS	name
inscribed	VVN	inscribe
on	IN	on
the	DT	the
list	NN	list
of	IN	of
speakers	NNS	speaker
the	DT	the
meeting	NN	meeting
is	VBZ	be
spe	NN	spe
life	NN	life
